%Bath Temp. (C)	Shape Temp. (C)	Elapsed Time (S)
52.3	2.8	0.00
52.3	2.8	0.25
52.3	2.8	0.50
52.3	2.8	0.75
52.3	2.8	1.00
52.3	2.8	1.25
52.3	2.8	1.50
52.3	2.8	1.75
52.3	2.8	2.00
52.3	2.8	2.25
52.3	2.8	2.50
52.3	2.8	2.75
52.3	2.8	3.00
52.3	2.8	3.25
52.3	2.8	3.50
52.3	2.8	3.75
52.3	2.8	4.00
52.3	2.8	4.25
52.3	2.8	4.50
52.3	2.8	4.75
52.3	2.8	5.00
52.3	2.8	5.25
52.3	2.8	5.50
52.3	2.8	5.75
52.4	2.8	6.00
52.4	2.8	6.25
52.3	2.9	6.50
52.4	3.1	6.75
52.4	3.3	7.00
52.4	3.6	7.25
52.4	4.0	7.50
52.4	4.5	7.75
52.4	5.0	8.00
52.3	5.6	8.25
52.4	6.2	8.50
52.3	6.8	8.75
52.3	7.5	9.00
52.4	8.1	9.25
52.4	8.8	9.50
52.4	9.5	9.75
52.4	10.2	10.00
52.4	10.9	10.25
52.4	11.5	10.50
52.4	12.2	10.75
52.4	12.9	11.00
52.4	13.6	11.25
52.4	14.2	11.50
52.4	14.9	11.75
52.4	15.5	12.00
52.4	16.2	12.25
52.4	16.8	12.50
52.4	17.4	12.75
52.4	18.1	13.00
52.4	18.7	13.25
52.4	19.3	13.50
52.4	19.9	13.75
52.4	20.5	14.00
52.4	21.1	14.25
52.4	21.7	14.50
52.4	22.3	14.75
52.4	22.9	15.00
52.4	23.5	15.25
52.4	24.0	15.50
52.4	24.5	15.75
52.4	25.1	16.00
52.4	25.6	16.25
52.5	26.1	16.50
52.5	26.6	16.75
52.5	27.1	17.00
52.5	27.6	17.25
52.5	28.1	17.50
52.5	28.5	17.75
52.5	29.0	18.00
52.5	29.5	18.25
52.5	29.9	18.50
52.5	30.3	18.75
52.5	30.8	19.00
52.4	31.2	19.25
52.4	31.6	19.50
52.4	32.0	19.75
52.4	32.4	20.00
52.4	32.8	20.25
52.4	33.2	20.50
52.4	33.5	20.75
52.4	33.9	21.00
52.4	34.2	21.25
52.4	34.6	21.50
52.4	34.9	21.75
52.4	35.3	22.00
52.4	35.6	22.25
52.5	36.0	22.50
52.4	36.3	22.75
52.4	36.6	23.00
52.4	36.9	23.25
52.4	37.2	23.50
52.5	37.5	23.75
52.4	37.8	24.00
52.4	38.0	24.25
52.4	38.3	24.50
52.4	38.6	24.75
52.4	38.9	25.00
52.5	39.1	25.25
52.4	39.4	25.50
52.5	39.6	25.75
52.4	39.9	26.00
52.4	40.1	26.25
52.5	40.4	26.50
52.5	40.6	26.75
52.5	40.8	27.00
52.5	41.1	27.25
52.5	41.3	27.50
52.5	41.6	27.75
52.5	41.8	28.00
52.5	42.0	28.25
52.5	42.2	28.50
52.5	42.4	28.75
52.5	42.6	29.00
52.5	42.8	29.25
52.5	43.0	29.50
52.5	43.2	29.75
52.5	43.4	30.00
52.5	43.6	30.25
52.5	43.8	30.50
52.5	43.9	30.75
52.5	44.1	31.00
52.5	44.3	31.25
52.5	44.5	31.50
52.5	44.6	31.75
52.5	44.8	32.00
52.5	44.9	32.25
52.5	45.1	32.50
52.5	45.2	32.75
52.5	45.3	33.00
52.5	45.5	33.25
52.5	45.6	33.50
52.5	45.8	33.75
52.5	45.9	34.00
52.5	46.0	34.25
52.5	46.1	34.50
52.5	46.2	34.75
52.5	46.3	35.00
52.5	46.5	35.25
52.5	46.6	35.50
52.5	46.7	35.75
52.5	46.8	36.00
52.5	46.9	36.25
52.5	47.0	36.50
52.5	47.1	36.75
52.5	47.2	37.00
52.5	47.3	37.25
52.5	47.4	37.50
52.5	47.5	37.75
52.5	47.6	38.00
52.5	47.7	38.25
52.5	47.8	38.50
52.5	47.9	38.75
52.5	47.9	39.00
52.6	48.0	39.25
52.6	48.1	39.50
52.6	48.2	39.75
52.5	48.3	40.00
52.5	48.4	40.25
52.5	48.5	40.50
52.5	48.5	40.75
52.5	48.6	41.00
52.5	48.7	41.25
52.5	48.8	41.50
52.5	48.8	41.75
52.5	48.9	42.00
52.5	49.0	42.25
52.5	49.0	42.50
52.6	49.1	42.75
52.6	49.2	43.00
52.5	49.2	43.25
52.5	49.3	43.50
52.6	49.4	43.75
52.6	49.4	44.00
52.6	49.5	44.25
52.6	49.6	44.50
52.5	49.6	44.75
52.5	49.7	45.00
52.6	49.7	45.25
52.6	49.8	45.50
52.6	49.9	45.75
52.6	49.9	46.00
52.6	50.0	46.25
52.6	50.0	46.50
52.6	50.1	46.75
52.6	50.1	47.00
52.6	50.2	47.25
52.6	50.3	47.50
52.6	50.3	47.75
52.6	50.3	48.00
52.7	50.4	48.25
52.7	50.4	48.50
52.7	50.5	48.75
52.7	50.5	49.00
52.7	50.6	49.25
52.7	50.6	49.50
52.7	50.6	49.75
52.7	50.7	50.00
52.7	50.7	50.25
52.7	50.8	50.50
52.7	50.8	50.75
52.7	50.8	51.00
52.7	50.9	51.25
52.7	50.9	51.50
52.7	50.9	51.75
52.7	51.0	52.00
52.7	51.0	52.25
52.7	51.0	52.50
52.7	51.0	52.75
52.7	51.1	53.00
52.7	51.1	53.25
52.7	51.1	53.50
52.7	51.2	53.75
52.7	51.2	54.00
52.8	51.3	54.25
52.8	51.2	54.50
52.8	51.3	54.75
52.8	51.3	55.00
52.8	51.3	55.25
52.8	51.4	55.50
52.8	51.4	55.75
52.8	51.4	56.00
52.8	51.4	56.25
52.8	51.5	56.50
52.8	51.5	56.75
52.8	51.5	57.00
52.8	51.5	57.25
52.8	51.5	57.50
52.8	51.6	57.75
52.8	51.6	58.00
52.8	51.6	58.25
52.8	51.6	58.50
52.8	51.7	58.75
52.8	51.7	59.00
52.8	51.7	59.25
52.8	51.7	59.50
52.8	51.7	59.75
52.8	51.8	60.00
52.8	51.8	60.25
52.8	51.8	60.50
52.8	51.8	60.75
52.7	51.8	61.00
52.8	51.8	61.25
52.7	51.9	61.50
52.7	51.9	61.75
52.8	51.9	62.00
52.7	51.9	62.25
52.7	51.9	62.50
52.8	51.9	62.75
52.7	51.9	63.00
52.7	52.0	63.25
52.7	52.0	63.50
52.7	52.0	63.75
52.7	52.0	64.00
52.7	52.0	64.25
52.7	52.0	64.50
52.7	52.1	64.75
52.7	52.1	65.00
52.7	52.1	65.25
52.7	52.1	65.50
52.7	52.1	65.75
52.7	52.1	66.00
52.7	52.1	66.25
52.7	52.2	66.50
52.7	52.2	66.75
52.7	52.2	67.00
52.7	52.2	67.25
52.7	52.2	67.50
52.7	52.2	67.75
52.7	52.2	68.00
52.7	52.2	68.25
52.7	52.3	68.50
52.7	52.3	68.75
52.7	52.3	69.00
52.7	52.3	69.25
52.7	52.3	69.50
52.7	52.3	69.75
52.8	52.3	70.00
52.8	52.3	70.25
52.8	52.3	70.50
52.8	52.3	70.75
52.8	52.4	71.00
52.8	52.4	71.25
52.8	52.4	71.50
52.8	52.4	71.75
52.8	52.4	72.00
52.8	52.4	72.25
52.8	52.4	72.50
52.8	52.4	72.75
52.8	52.4	73.00
52.8	52.4	73.25
