%Bath Temp. (C)	Shape Temp. (C)	Elapsed Time (S)
47.9	2.3	0.00
47.9	2.4	0.25
47.9	2.3	0.50
47.9	2.3	0.75
47.9	2.3	1.00
47.9	2.3	1.25
47.9	2.3	1.50
47.9	2.4	1.75
47.9	2.3	2.00
47.9	2.3	2.25
47.9	2.3	2.50
47.9	2.4	2.75
47.9	2.4	3.00
47.9	2.3	3.25
47.9	2.3	3.50
47.9	2.4	3.75
47.9	2.4	4.00
47.9	2.3	4.25
47.9	2.4	4.50
47.9	2.4	4.75
47.9	2.3	5.00
47.9	2.4	5.25
47.9	2.4	5.50
47.9	2.3	5.75
47.9	2.3	6.00
47.9	2.3	6.25
47.9	2.4	6.50
47.9	2.3	6.75
47.9	2.3	7.00
47.9	2.3	7.25
47.9	2.4	7.50
47.9	2.5	7.75
47.9	2.5	8.00
47.9	2.6	8.25
47.9	2.8	8.50
47.9	3.0	8.75
47.9	3.3	9.00
47.9	3.6	9.25
47.9	3.9	9.50
47.9	4.3	9.75
47.9	4.6	10.00
47.9	5.0	10.25
47.9	5.5	10.50
47.9	5.9	10.75
47.9	6.3	11.00
47.9	6.7	11.25
47.9	7.2	11.50
47.9	7.6	11.75
47.9	8.1	12.00
48.0	8.5	12.25
48.0	9.0	12.50
48.0	9.5	12.75
48.0	9.9	13.00
48.0	10.4	13.25
48.0	10.9	13.50
48.0	11.3	13.75
48.0	11.8	14.00
48.0	12.2	14.25
48.0	12.7	14.50
48.0	13.1	14.75
48.0	13.6	15.00
48.0	14.0	15.25
48.0	14.5	15.50
48.0	14.9	15.75
48.1	15.3	16.00
48.0	15.7	16.25
48.0	16.2	16.50
48.1	16.6	16.75
48.1	17.0	17.00
48.1	17.4	17.25
48.1	17.8	17.50
48.1	18.2	17.75
48.1	18.6	18.00
48.1	19.0	18.25
48.1	19.3	18.50
48.1	19.7	18.75
48.1	20.1	19.00
48.1	20.4	19.25
48.1	20.8	19.50
48.1	21.1	19.75
48.1	21.5	20.00
48.1	21.8	20.25
48.1	22.1	20.50
48.1	22.5	20.75
48.1	22.8	21.00
48.1	23.1	21.25
48.1	23.5	21.50
48.1	23.8	21.75
48.1	24.1	22.00
48.1	24.4	22.25
48.1	24.7	22.50
48.1	25.0	22.75
48.1	25.3	23.00
48.1	25.6	23.25
48.1	25.9	23.50
48.2	26.2	23.75
48.2	26.5	24.00
48.2	26.8	24.25
48.2	27.1	24.50
48.2	27.3	24.75
48.2	27.6	25.00
48.2	27.9	25.25
48.1	28.2	25.50
48.1	28.4	25.75
48.1	28.7	26.00
48.1	28.9	26.25
48.1	29.2	26.50
48.1	29.4	26.75
48.1	29.7	27.00
48.1	29.9	27.25
48.1	30.2	27.50
48.1	30.4	27.75
48.1	30.6	28.00
48.1	30.9	28.25
48.1	31.1	28.50
48.1	31.3	28.75
48.1	31.6	29.00
48.2	31.8	29.25
48.2	32.0	29.50
48.2	32.3	29.75
48.2	32.4	30.00
48.2	32.7	30.25
48.2	32.9	30.50
48.2	33.1	30.75
48.2	33.3	31.00
48.2	33.5	31.25
48.2	33.7	31.50
48.2	33.9	31.75
48.1	34.1	32.00
48.2	34.3	32.25
48.2	34.4	32.50
48.2	34.6	32.75
48.2	34.8	33.00
48.2	35.0	33.25
48.2	35.2	33.50
48.2	35.3	33.75
48.2	35.5	34.00
48.2	35.7	34.25
48.1	35.8	34.50
48.1	35.9	34.75
48.2	36.1	35.00
48.2	36.3	35.25
48.1	36.4	35.50
48.2	36.6	35.75
48.2	36.7	36.00
48.2	36.9	36.25
48.2	37.0	36.50
48.2	37.1	36.75
48.1	37.3	37.00
48.2	37.4	37.25
48.1	37.6	37.50
48.1	37.7	37.75
48.1	37.8	38.00
48.1	38.0	38.25
48.2	38.1	38.50
48.2	38.2	38.75
48.1	38.4	39.00
48.2	38.5	39.25
48.2	38.6	39.50
48.2	38.7	39.75
48.2	38.9	40.00
48.2	39.0	40.25
48.2	39.1	40.50
48.2	39.2	40.75
48.2	39.3	41.00
48.2	39.4	41.25
48.2	39.6	41.50
48.2	39.7	41.75
48.2	39.8	42.00
48.2	39.9	42.25
48.2	40.0	42.50
48.2	40.1	42.75
48.2	40.2	43.00
48.2	40.3	43.25
48.2	40.4	43.50
48.2	40.6	43.75
48.2	40.6	44.00
48.2	40.7	44.25
48.2	40.8	44.50
48.2	40.9	44.75
48.2	41.0	45.00
48.2	41.1	45.25
48.2	41.2	45.50
48.2	41.3	45.75
48.2	41.4	46.00
48.2	41.5	46.25
48.2	41.5	46.50
48.2	41.6	46.75
48.2	41.7	47.00
48.2	41.8	47.25
48.2	41.8	47.50
48.2	41.9	47.75
48.2	42.0	48.00
48.2	42.1	48.25
48.2	42.1	48.50
48.2	42.2	48.75
48.2	42.3	49.00
48.2	42.4	49.25
48.2	42.4	49.50
48.3	42.5	49.75
48.2	42.6	50.00
48.2	42.7	50.25
48.2	42.7	50.50
48.2	42.8	50.75
48.2	42.9	51.00
48.3	42.9	51.25
48.3	43.0	51.50
48.3	43.1	51.75
48.3	43.1	52.00
48.3	43.2	52.25
48.3	43.2	52.50
48.3	43.3	52.75
48.3	43.4	53.00
48.3	43.4	53.25
48.3	43.5	53.50
48.3	43.5	53.75
48.3	43.6	54.00
48.3	43.7	54.25
48.3	43.7	54.50
48.3	43.8	54.75
48.3	43.8	55.00
48.3	43.8	55.25
48.3	43.9	55.50
48.3	44.0	55.75
48.3	44.0	56.00
48.3	44.1	56.25
48.3	44.1	56.50
48.3	44.1	56.75
48.3	44.2	57.00
48.3	44.2	57.25
48.3	44.3	57.50
48.3	44.4	57.75
48.3	44.4	58.00
48.3	44.4	58.25
48.3	44.5	58.50
48.3	44.5	58.75
48.3	44.6	59.00
48.3	44.6	59.25
48.3	44.6	59.50
48.3	44.7	59.75
48.3	44.7	60.00
48.3	44.8	60.25
48.3	44.8	60.50
48.3	44.8	60.75
48.3	44.9	61.00
48.3	44.9	61.25
48.3	45.0	61.50
48.3	45.0	61.75
48.3	45.0	62.00
48.3	45.0	62.25
48.3	45.1	62.50
48.3	45.2	62.75
48.3	45.2	63.00
48.3	45.2	63.25
48.3	45.2	63.50
48.3	45.3	63.75
48.3	45.3	64.00
48.3	45.4	64.25
48.3	45.4	64.50
48.3	45.4	64.75
48.3	45.4	65.00
48.3	45.5	65.25
48.3	45.5	65.50
48.3	45.5	65.75
48.3	45.6	66.00
48.3	45.6	66.25
48.3	45.6	66.50
48.3	45.7	66.75
48.3	45.7	67.00
48.4	45.7	67.25
48.3	45.7	67.50
48.3	45.8	67.75
48.3	45.8	68.00
48.3	45.8	68.25
48.3	45.9	68.50
48.3	45.9	68.75
48.4	45.9	69.00
48.3	45.9	69.25
48.3	46.0	69.50
48.3	46.0	69.75
48.3	46.0	70.00
48.3	46.1	70.25
48.3	46.0	70.50
48.3	46.1	70.75
48.3	46.1	71.00
48.4	46.1	71.25
48.4	46.2	71.50
48.4	46.2	71.75
48.4	46.2	72.00
48.4	46.2	72.25
48.4	46.3	72.50
48.4	46.3	72.75
48.4	46.3	73.00
48.4	46.3	73.25
48.4	46.3	73.50
48.4	46.3	73.75
48.4	46.4	74.00
48.4	46.4	74.25
48.4	46.4	74.50
48.4	46.4	74.75
48.4	46.5	75.00
48.4	46.5	75.25
48.5	46.5	75.50
48.4	46.5	75.75
48.5	46.5	76.00
48.5	46.6	76.25
48.5	46.6	76.50
48.5	46.6	76.75
48.5	46.6	77.00
48.5	46.6	77.25
48.5	46.7	77.50
48.4	46.7	77.75
48.4	46.7	78.00
48.4	46.7	78.25
48.4	46.7	78.50
48.4	46.7	78.75
48.4	46.8	79.00
48.4	46.8	79.25
48.4	46.8	79.50
48.4	46.8	79.75
48.4	46.8	80.00
48.4	46.9	80.25
48.4	46.9	80.50
48.4	46.9	80.75
48.4	46.9	81.00
48.4	46.9	81.25
48.4	46.9	81.50
48.4	47.0	81.75
48.4	47.0	82.00
48.4	47.0	82.25
48.4	47.0	82.50
48.4	47.0	82.75
48.4	47.0	83.00
48.4	47.0	83.25
48.4	47.0	83.50
48.4	47.1	83.75
48.4	47.1	84.00
48.4	47.1	84.25
48.4	47.1	84.50
48.4	47.1	84.75
48.4	47.1	85.00
48.5	47.1	85.25
48.4	47.2	85.50
48.5	47.2	85.75
48.5	47.2	86.00
48.5	47.2	86.25
48.5	47.2	86.50
48.5	47.2	86.75
48.5	47.2	87.00
48.5	47.2	87.25
48.5	47.3	87.50
48.5	47.3	87.75
48.5	47.3	88.00
48.5	47.3	88.25
48.5	47.3	88.50
48.5	47.3	88.75
48.5	47.3	89.00
48.5	47.3	89.25
48.5	47.3	89.50
48.5	47.4	89.75
48.5	47.4	90.00
48.5	47.4	90.25
48.5	47.4	90.50
48.5	47.4	90.75
48.5	47.4	91.00
48.5	47.4	91.25
48.5	47.4	91.50
48.5	47.4	91.75
48.5	47.4	92.00
48.5	47.5	92.25
48.5	47.5	92.50
48.5	47.5	92.75
48.4	47.5	93.00
48.5	47.5	93.25
48.5	47.5	93.50
48.5	47.5	93.75
48.5	47.5	94.00
48.5	47.5	94.25
48.5	47.6	94.50
48.6	47.5	94.75
48.6	47.6	95.00
48.6	47.6	95.25
48.6	47.6	95.50
48.6	47.6	95.75
48.6	47.6	96.00
48.6	47.6	96.25
48.7	47.6	96.50
48.7	47.6	96.75
48.6	47.6	97.00
48.6	47.6	97.25
48.6	47.6	97.50
48.6	47.7	97.75
48.6	47.7	98.00
48.6	47.7	98.25
48.6	47.7	98.50
48.7	47.7	98.75
48.6	47.7	99.00
48.6	47.7	99.25
48.6	47.7	99.50
48.6	47.7	99.75
48.6	47.7	100.00
48.6	47.7	100.25
48.6	47.7	100.50
48.6	47.8	100.75
48.6	47.7	101.00
48.6	47.8	101.25
48.6	47.8	101.50
48.7	47.8	101.75
48.6	47.8	102.00
48.7	47.8	102.25
48.7	47.8	102.50
48.6	47.8	102.75
48.7	47.8	103.00
48.7	47.8	103.25
48.7	47.8	103.50
48.6	47.8	103.75
48.7	47.9	104.00
48.6	47.9	104.25
48.6	47.9	104.50
48.7	47.9	104.75
48.6	47.9	105.00
48.7	47.9	105.25
48.7	47.9	105.50
48.7	47.9	105.75
48.7	47.9	106.00
48.7	47.9	106.25
48.6	47.9	106.50
48.6	47.9	106.75
48.6	47.9	107.00
48.6	47.9	107.25
48.6	47.9	107.50
48.6	48.0	107.75
48.6	48.0	108.00
48.6	48.0	108.25
48.6	48.0	108.50
48.6	48.0	108.75
48.6	48.0	109.00
48.6	48.0	109.25
48.6	48.0	109.50
48.6	48.0	109.75
48.6	48.0	110.00
48.6	48.0	110.25
48.6	48.0	110.50
48.7	48.0	110.75
48.7	48.0	111.00
48.7	48.0	111.25
48.7	48.0	111.50
48.7	48.0	111.75
48.7	48.0	112.00
48.7	48.1	112.25
48.7	48.1	112.50
48.7	48.0	112.75
48.7	48.1	113.00
